Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP
3.82,-0.30,2.86,11.60,210.24,8.80,22.50,147.70,-2.00,6.77
3.77,-0.38,2.87,11.60,208.14,8.80,22.50,147.78,-2.03,6.75
3.73,-0.41,2.89,11.60,207.57,8.70,22.50,147.60,-2.06,6.70
3.65,-0.58,2.91,11.59,219.67,8.60,22.50,148.70,-2.03,7.22
3.55,-0.78,2.84,11.50,220.08,8.60,22.50,147.16,-2.02,7.47
3.53,-0.90,2.76,11.49,216.57,8.80,22.50,145.14,-2.01,7.63
3.54,-0.96,2.69,11.50,220.06,8.80,22.50,144.84,-1.99,7.89
3.61,-0.82,2.63,11.50,180.44,8.80,22.50,146.18,-1.91,6.31
3.77,-0.54,2.62,11.50,164.10,8.90,22.50,146.57,-1.95,5.56
3.92,-0.22,2.72,11.57,187.14,9.00,22.50,147.51,-2.13,6.05
3.93,-0.20,2.83,11.60,213.68,8.80,22.50,147.44,-2.19,6.90
3.95,-0.12,2.80,11.60,203.91,8.80,22.50,146.78,-2.19,6.52
3.96,-0.10,2.89,11.60,210.11,8.80,22.50,147.14,-2.20,6.68
3.96,-0.10,2.85,11.60,218.71,8.90,22.50,146.73,-2.18,6.98
3.96,-0.10,2.87,11.60,218.43,8.70,22.50,147.38,-2.16,6.93
3.95,-0.10,2.86,11.67,218.69,8.80,22.50,148.52,-2.17,6.88
3.95,-0.10,2.89,11.70,217.85,8.80,22.50,148.52,-2.12,6.85
3.94,-0.10,2.86,11.70,219.35,8.80,22.50,148.78,-2.11,6.87
3.92,-0.11,2.87,11.70,219.71,8.90,22.50,148.50,-2.27,6.88
3.92,-0.14,2.86,11.70,219.43,8.80,22.50,148.60,-2.26,6.92
3.91,-0.20,2.88,11.70,218.58,8.90,22.50,148.54,-2.23,6.97
3.90,-0.21,2.87,11.70,219.13,8.90,22.50,148.49,-2.29,6.99
3.89,-0.30,2.85,11.70,216.52,8.80,22.50,148.80,-2.31,7.03
3.87,-0.28,2.81,11.70,219.14,8.90,22.50,149.24,-2.35,7.03
3.84,-0.30,2.86,11.70,219.16,8.80,22.50,148.82,-2.40,7.03
3.82,-0.38,2.89,11.70,219.55,8.80,22.50,148.94,-2.16,7.15
3.80,-0.40,2.80,11.70,218.91,8.80,22.50,148.06,-2.17,7.15
3.80,-0.36,2.75,11.71,217.71,8.90,22.50,149.48,-2.31,6.98
3.81,-0.30,2.90,11.70,218.34,8.90,22.50,149.00,-2.30,6.95
3.77,-0.39,2.88,11.70,219.62,8.90,22.50,148.55,-2.11,7.09
3.71,-0.55,2.87,11.64,218.69,8.80,22.50,147.86,-2.11,7.26
3.66,-0.60,2.78,11.60,218.63,8.80,22.50,147.60,-2.07,7.28
3.68,-0.53,2.78,11.60,218.86,8.80,22.50,147.94,-2.12,7.18
3.70,-0.53,2.79,11.60,218.29,8.80,22.50,146.72,-2.10,7.24
3.67,-0.66,2.83,11.60,214.83,8.80,22.50,147.55,-2.21,7.25
3.60,-0.75,2.85,11.60,206.88,8.80,22.50,147.80,-2.22,7.02
3.53,-0.93,2.80,11.60,207.78,8.70,22.50,147.66,-2.21,7.23
3.49,-1.04,2.73,11.59,217.01,8.90,22.50,147.53,-2.19,7.69
3.45,-1.11,2.70,11.50,201.04,8.70,22.50,147.26,-2.16,7.19
3.49,-1.05,2.68,11.50,172.69,8.80,22.50,147.16,-2.14,6.15
3.55,-0.92,2.66,11.50,173.55,8.80,22.50,145.82,-2.16,6.13
3.63,-0.70,2.64,11.50,173.69,8.90,22.50,146.10,-2.16,5.94
3.73,-0.44,2.67,11.50,171.42,8.90,22.50,146.40,-2.17,5.63
3.75,-0.40,2.81,11.60,215.08,8.70,22.50,148.90,-2.19,6.91
3.78,-0.36,2.76,11.60,218.14,8.80,22.50,148.18,-2.18,7.01
3.83,-0.30,2.81,11.60,212.16,8.80,22.50,147.55,-2.18,6.85
3.83,-0.30,2.83,11.60,218.64,8.80,22.50,147.66,-2.16,7.05
3.84,-0.22,2.83,11.54,208.49,8.70,22.50,147.00,-2.16,6.64
3.86,-0.20,2.84,11.50,211.94,8.60,22.50,146.64,-2.14,6.76
3.85,-0.20,2.84,11.50,220.17,8.70,22.50,146.00,-2.12,7.05
3.86,-0.20,2.84,11.54,217.66,8.70,22.50,146.28,-2.11,6.96
3.84,-0.20,2.86,11.67,219.17,8.80,22.50,147.66,-2.09,6.91
3.82,-0.24,2.84,11.64,218.74,8.80,22.50,148.02,-2.12,6.91
3.80,-0.30,2.85,11.62,218.16,8.90,22.50,148.18,-2.16,6.96
3.77,-0.30,2.84,11.70,218.54,8.90,22.50,149.06,-2.21,6.88
3.74,-0.31,2.87,11.70,219.85,8.80,22.50,148.24,-2.22,6.94
3.72,-0.39,2.87,11.70,217.78,8.80,22.50,147.62,-2.21,6.98
3.69,-0.40,2.84,11.70,218.54,8.90,22.50,147.62,-2.19,6.98
3.65,-0.49,2.84,11.70,219.10,8.80,22.50,148.32,-2.14,7.05
3.61,-0.60,2.87,11.62,218.39,8.80,22.50,147.96,-2.07,7.16
3.54,-0.77,2.88,11.54,216.47,8.80,22.50,147.14,-1.96,7.30
3.45,-1.02,2.88,11.60,218.05,8.60,22.50,147.24,-2.02,7.64
3.40,-1.17,2.71,11.55,218.29,8.90,22.50,147.20,-2.06,7.82
3.37,-1.26,2.63,11.60,200.27,8.90,22.50,146.22,-2.11,7.30
3.43,-1.13,2.63,11.57,174.08,9.00,22.50,146.30,-2.15,6.25
3.49,-0.97,2.61,11.61,172.85,8.90,22.50,147.94,-2.27,6.00
3.57,-0.73,2.65,11.60,174.35,8.90,22.50,147.73,-2.29,5.85
3.66,-0.54,2.69,11.63,175.12,9.00,22.50,148.26,-2.32,5.72
3.68,-0.42,2.84,11.70,198.20,9.00,22.50,148.44,-2.42,6.31
3.63,-0.56,2.87,11.71,219.08,8.80,22.50,149.12,-2.46,7.10
3.59,-0.60,2.78,11.80,219.07,9.00,22.50,149.20,-2.48,7.09
3.55,-0.61,2.80,11.80,217.94,9.10,22.50,149.54,-2.41,6.98
3.50,-0.78,2.92,11.80,219.15,9.00,22.50,150.30,-2.42,7.20
3.44,-0.91,2.77,11.78,217.82,8.80,22.50,150.49,-2.32,7.25
3.45,-0.90,2.71,11.73,214.62,9.00,22.50,149.20,-2.28,7.21
3.48,-0.94,2.71,11.76,218.82,9.10,22.50,149.14,-2.18,7.48
3.49,-0.90,2.66,11.88,186.89,9.10,22.50,151.00,-2.35,6.27
3.60,-0.63,2.65,11.90,172.93,9.30,22.50,151.39,-2.37,5.57
3.66,-0.41,2.75,11.90,176.34,9.30,22.50,152.52,-2.32,5.43
3.64,-0.48,2.88,11.86,216.60,8.90,22.50,150.30,-2.19,6.84
3.59,-0.54,2.80,11.86,218.86,9.10,22.50,151.22,-2.08,6.89
3.55,-0.60,2.79,11.78,218.50,8.90,22.50,150.82,-1.93,6.94
3.49,-0.65,2.81,11.65,217.48,8.90,22.50,148.88,-1.87,6.99
3.46,-0.72,2.84,11.44,213.15,8.70,22.50,145.51,-1.64,7.06
3.43,-0.80,2.76,11.21,209.22,8.50,22.50,144.48,-1.36,7.06
3.40,-0.80,2.73,10.92,213.06,8.20,22.50,138.96,-1.03,7.43
3.42,-0.80,2.77,10.90,203.60,8.20,22.50,139.35,-1.02,7.10
3.38,-0.85,2.82,10.88,209.21,8.10,22.50,138.90,-0.99,7.34
3.27,-1.04,2.82,10.80,204.94,8.10,22.50,138.30,-0.93,7.35
3.18,-1.18,2.76,10.80,207.66,7.90,22.50,138.24,-0.87,7.54
3.11,-1.35,2.71,10.80,210.88,8.00,22.50,138.46,-0.80,7.83
3.10,-1.49,2.70,10.80,211.36,8.10,22.50,138.96,-0.72,8.04
3.10,-1.61,2.68,10.90,206.97,8.10,22.50,139.20,-0.81,8.07
3.05,-1.62,2.49,10.93,182.93,8.20,22.50,139.56,-0.94,7.05
3.19,-1.26,2.43,11.00,156.33,8.60,22.50,139.67,-1.00,5.75
3.33,-1.00,2.64,11.07,161.07,8.50,22.50,141.68,-1.19,5.68
3.43,-0.86,2.68,11.10,205.50,8.50,22.50,141.98,-1.26,7.15
3.49,-0.78,2.73,11.10,206.01,8.50,22.50,142.32,-1.31,7.12
3.56,-0.69,2.72,11.10,207.06,8.30,22.50,142.06,-1.31,7.14
3.64,-0.55,2.73,11.10,204.73,8.30,22.50,142.52,-1.38,6.94
3.65,-0.50,2.76,11.10,207.38,8.40,22.50,141.26,-1.41,7.03
3.66,-0.50,2.82,11.10,207.02,8.30,22.50,143.32,-1.44,6.93
3.67,-0.47,2.80,11.10,205.94,8.30,22.50,141.88,-1.45,6.93
3.64,-0.56,2.84,11.10,218.65,8.30,22.50,140.92,-1.45,7.52
3.62,-0.60,2.78,11.10,218.35,8.40,22.50,141.58,-1.36,7.50
3.61,-0.60,2.78,11.10,218.10,8.20,22.50,141.92,-1.41,7.45
3.64,-0.57,2.74,11.10,219.59,8.30,22.50,142.24,-1.41,7.50
3.72,-0.50,2.80,11.10,218.72,8.30,22.50,141.48,-1.41,7.52
3.70,-0.60,2.89,11.10,218.53,8.20,22.50,140.98,-1.39,7.68
3.60,-0.79,2.86,11.10,206.02,8.30,22.50,142.32,-1.36,7.32
3.46,-1.05,2.86,11.03,207.28,8.30,22.50,141.47,-1.23,7.62
3.39,-1.20,2.68,11.00,209.76,8.30,22.50,139.60,-1.17,7.95
3.42,-1.17,2.64,11.00,189.26,8.40,22.50,141.16,-1.19,7.09
3.50,-0.98,2.59,11.09,174.37,8.30,22.50,140.74,-1.29,6.39
3.60,-0.76,2.62,11.10,173.10,8.50,22.50,141.26,-1.36,6.16
3.71,-0.52,2.71,11.10,173.76,8.40,22.50,142.86,-1.34,5.92
3.75,-0.40,2.82,11.16,206.51,8.30,22.50,142.60,-1.25,6.93
3.75,-0.40,2.82,11.11,217.14,8.30,22.50,141.24,-1.20,7.35
3.76,-0.40,2.82,11.13,219.28,8.20,22.50,142.35,-1.23,7.39
3.79,-0.34,2.77,11.10,219.58,8.30,22.50,142.06,-1.29,7.36
3.81,-0.30,2.87,11.18,218.04,8.30,22.50,143.50,-1.12,7.20
3.76,-0.50,2.95,11.17,218.14,8.30,22.50,141.96,-1.14,7.54
3.60,-0.88,2.97,11.10,219.70,8.10,22.50,142.08,-1.21,7.98
3.41,-1.15,2.76,11.05,214.75,8.20,22.50,142.02,-1.18,7.96
3.35,-1.16,2.67,11.00,176.24,8.40,22.50,140.69,-1.23,6.50
3.38,-0.99,2.62,11.00,174.21,8.30,22.50,140.94,-1.22,6.23
3.50,-0.75,2.61,11.00,172.81,8.30,22.50,141.54,-1.22,5.98
3.60,-0.52,2.74,11.10,185.75,8.50,22.50,142.42,-1.18,6.20
3.61,-0.50,2.80,11.10,219.05,8.20,22.50,143.22,-1.03,7.24
3.61,-0.57,2.86,11.10,218.88,8.30,22.50,141.92,-0.96,7.43
3.56,-0.60,2.78,11.10,219.36,8.30,22.50,141.33,-0.99,7.44
3.54,-0.60,2.79,11.10,218.74,8.40,22.50,140.32,-1.05,7.44
3.56,-0.63,2.82,11.10,218.19,8.30,22.50,141.58,-1.17,7.44
3.55,-0.63,2.74,11.01,219.43,8.30,22.50,142.04,-1.12,7.45
3.58,-0.61,2.75,11.00,217.46,8.30,22.50,140.28,-1.04,7.49
3.60,-0.65,2.77,11.00,218.21,8.20,22.50,140.24,-0.93,7.62
3.59,-0.70,2.83,10.91,219.56,8.10,22.50,140.60,-0.98,7.73
3.55,-0.84,2.86,10.90,218.03,8.00,22.50,140.74,-0.97,7.85
3.50,-0.98,2.80,10.80,218.77,8.00,22.50,138.86,-1.05,8.14
3.51,-1.03,2.70,10.80,218.41,8.10,22.50,137.06,-1.05,8.34
3.56,-0.99,2.66,10.80,195.14,8.10,22.50,138.88,-1.09,7.36
3.67,-0.79,2.65,10.80,172.48,8.10,22.50,139.92,-1.12,6.34
3.74,-0.60,2.75,10.80,177.75,8.20,22.50,137.80,-1.19,6.46
3.75,-0.68,2.84,10.74,212.52,8.00,22.50,137.38,-1.17,7.90
3.71,-0.78,2.88,10.64,210.11,7.90,22.50,136.98,-1.07,7.95
3.64,-1.02,2.82,10.60,218.91,7.70,22.50,136.16,-1.05,8.63
3.56,-1.21,2.77,10.60,196.23,7.80,22.50,135.62,-1.03,7.96
3.52,-1.30,2.74,10.60,173.25,7.80,22.50,136.61,-1.00,7.04
3.51,-1.30,2.68,10.60,174.42,7.80,22.50,136.45,-1.07,7.09
3.54,-1.23,2.64,10.63,173.32,8.00,22.50,136.80,-1.01,6.96
3.55,-1.20,2.73,10.70,173.12,8.00,22.50,137.08,-0.92,6.92
3.53,-1.25,2.73,10.70,176.61,8.00,22.50,136.44,-0.78,7.14
3.53,-1.23,2.72,10.70,173.37,8.00,22.50,136.86,-0.71,6.96
3.54,-1.20,2.69,10.70,171.17,8.00,22.50,136.18,-0.85,6.86
3.54,-1.20,2.73,10.70,174.66,8.00,22.50,136.86,-0.78,6.97
3.51,-1.21,2.69,10.70,173.40,7.90,22.50,137.14,-0.90,6.88
3.49,-1.30,2.74,10.70,172.58,7.90,22.50,136.52,-0.99,6.98
3.49,-1.21,2.69,10.70,175.10,8.10,22.50,136.76,-0.99,6.93
3.48,-1.20,2.69,10.70,173.56,7.90,22.50,136.55,-0.97,6.86
3.47,-1.20,2.74,10.70,174.12,8.00,22.50,137.68,-0.93,6.81
3.43,-1.29,2.73,10.70,174.81,7.90,22.50,136.66,-0.88,6.96
3.38,-1.33,2.75,10.70,174.88,8.00,22.50,136.82,-0.93,6.94
3.31,-1.43,2.70,10.70,171.55,8.00,22.50,137.41,-0.87,6.83
3.23,-1.52,2.70,10.70,174.86,8.00,22.50,136.26,-0.73,7.02
3.18,-1.60,2.69,10.70,172.29,8.00,22.50,137.94,-0.82,6.88
3.17,-1.60,2.61,10.70,173.48,8.20,22.50,138.67,-0.85,6.88
3.19,-1.60,2.64,10.70,173.76,8.10,22.50,138.31,-0.91,6.94
3.23,-1.59,2.62,10.77,173.26,8.00,22.50,137.63,-1.03,6.98
3.26,-1.54,2.63,10.80,174.55,8.20,22.50,138.02,-1.09,7.00
3.28,-1.48,2.61,10.86,174.82,8.20,22.50,139.60,-1.14,6.87
3.34,-1.35,2.58,10.90,168.08,8.30,22.50,139.64,-1.17,6.51
3.44,-1.16,2.65,10.91,162.56,8.20,22.50,139.74,-1.21,6.17
3.50,-1.06,2.70,10.98,175.03,8.20,22.50,141.24,-1.22,6.52
3.55,-0.92,2.67,11.00,173.14,8.30,22.50,140.48,-1.21,6.35
3.60,-0.76,2.68,11.00,174.65,8.40,22.50,140.38,-1.18,6.26
3.63,-0.73,2.79,11.00,191.00,8.30,22.50,140.68,-1.15,6.83
3.57,-0.89,2.83,11.00,218.18,8.20,22.50,140.27,-1.16,7.99
3.52,-1.07,2.79,10.93,219.79,8.10,22.50,139.86,-1.22,8.32
3.50,-1.15,2.68,10.90,202.95,8.20,22.50,140.04,-1.21,7.78
3.56,-1.03,2.69,10.97,174.21,8.20,22.50,140.53,-1.23,6.56
3.64,-0.91,2.71,11.00,175.04,8.20,22.50,139.53,-1.25,6.59
3.70,-0.77,2.66,11.00,175.11,8.40,22.50,142.65,-1.24,6.32
3.77,-0.57,2.68,11.00,173.61,8.30,22.50,140.84,-1.22,6.17
3.85,-0.40,2.82,11.00,176.46,8.20,22.50,141.46,-1.23,6.11
3.83,-0.49,2.89,11.00,219.31,8.10,22.50,141.98,-1.17,7.70
3.80,-0.60,2.83,11.00,219.00,8.10,22.50,140.90,-1.17,7.88
3.77,-0.65,2.76,11.00,215.55,8.20,22.50,140.52,-1.17,7.82
3.87,-0.43,2.69,11.00,174.44,8.40,22.50,141.06,-1.21,6.13
3.99,-0.16,2.77,11.00,173.02,8.20,22.50,141.64,-1.24,5.85
4.02,-0.10,2.83,11.01,206.35,8.10,22.50,140.51,-1.13,6.98
4.00,-0.10,2.87,11.00,220.11,8.20,22.50,143.68,-1.17,7.24
3.97,-0.11,2.90,11.01,218.02,8.10,22.50,139.34,-1.18,7.36
3.94,-0.20,2.91,11.00,219.91,8.00,22.50,142.12,-1.26,7.38
3.91,-0.22,2.85,11.00,218.53,8.10,22.50,140.88,-1.30,7.38
3.87,-0.32,2.89,11.00,218.91,8.10,22.50,142.34,-1.28,7.42
3.82,-0.42,2.88,11.00,217.96,8.10,22.50,140.76,-1.24,7.57
3.78,-0.53,2.89,11.00,218.23,8.10,22.50,140.10,-1.24,7.74
3.74,-0.67,2.87,11.00,219.41,8.10,22.50,140.88,-1.21,7.93
3.69,-0.82,2.80,10.96,219.92,8.20,22.50,140.20,-1.19,8.16
3.73,-0.71,2.64,10.90,183.27,8.10,22.50,139.62,-1.14,6.72
3.82,-0.48,2.67,10.98,172.18,8.20,22.50,139.92,-1.11,6.10
3.92,-0.20,2.75,11.00,175.19,8.30,22.50,141.16,-1.09,5.90
3.95,-0.10,2.89,11.01,212.06,8.10,22.50,141.00,-1.11,7.02
3.92,-0.17,2.91,11.01,218.90,8.20,22.50,140.86,-1.12,7.33
3.88,-0.21,2.90,11.00,220.98,8.00,22.50,141.88,-1.11,7.35
3.84,-0.34,2.93,11.00,216.88,8.00,22.50,140.62,-1.14,7.44
3.79,-0.40,2.81,11.00,218.90,8.20,22.50,140.54,-1.06,7.53
3.75,-0.48,2.87,10.99,218.51,8.20,22.50,140.30,-1.07,7.59
3.71,-0.57,2.86,10.90,219.59,8.00,22.50,140.50,-1.02,7.70
3.68,-0.66,2.86,10.90,218.56,8.10,22.50,139.69,-0.98,7.84
3.65,-0.80,2.76,10.90,221.88,8.00,22.50,140.55,-0.91,8.10
3.73,-0.64,2.60,10.90,175.44,8.20,22.50,138.32,-0.85,6.39
3.85,-0.28,2.71,10.97,173.85,8.30,22.50,139.72,-0.95,5.92
3.91,-0.23,2.91,11.00,197.53,8.20,22.50,141.16,-1.01,6.67
3.90,-0.23,2.82,11.00,217.10,8.10,22.50,140.84,-1.01,7.33
3.89,-0.20,2.86,11.00,218.26,8.20,22.50,138.90,-0.98,7.41
3.87,-0.24,2.88,10.97,219.92,8.10,22.50,139.84,-1.01,7.45
3.85,-0.30,2.85,10.90,219.27,7.90,22.50,140.58,-0.98,7.47
3.84,-0.30,2.85,10.90,219.13,8.10,22.50,139.94,-1.04,7.48
3.85,-0.30,2.84,10.90,219.14,8.00,22.50,139.24,-0.96,7.54
3.83,-0.36,2.89,10.90,219.15,8.10,22.50,140.22,-0.92,7.56
3.79,-0.44,2.90,10.90,217.12,8.10,22.50,141.70,-0.99,7.48
3.76,-0.51,2.86,10.90,214.06,8.10,22.50,138.71,-0.97,7.60
3.70,-0.63,2.86,10.90,218.60,8.00,22.50,139.12,-0.93,7.85
3.64,-0.76,2.85,10.86,219.19,8.20,22.50,138.66,-0.92,8.03
3.59,-0.94,2.88,10.80,220.13,7.90,22.50,138.08,-0.82,8.32
3.51,-1.17,2.78,10.80,219.04,7.90,22.50,138.96,-0.81,8.52
3.51,-1.26,2.71,10.80,183.64,8.10,22.50,138.90,-0.67,7.27
3.56,-1.16,2.65,10.80,172.38,8.20,22.50,138.27,-0.66,6.78
3.62,-1.05,2.66,10.82,174.34,8.20,22.50,138.16,-0.85,6.80
3.68,-0.97,2.71,10.83,175.27,8.20,22.50,138.55,-0.87,6.78
3.72,-0.90,2.74,10.90,175.05,8.20,22.50,139.72,-0.85,6.68
3.78,-0.81,2.72,10.90,175.31,8.10,22.50,139.46,-0.87,6.65
3.84,-0.64,2.64,10.90,174.87,8.30,22.50,140.04,-0.76,6.44
3.91,-0.39,2.70,10.90,172.87,8.20,22.50,139.94,-0.69,6.13
3.98,-0.21,2.83,10.99,174.65,8.20,22.50,140.36,-0.74,6.01
3.98,-0.24,2.94,11.00,199.53,8.20,22.50,140.35,-0.79,6.91
3.88,-0.46,2.94,11.00,217.50,8.10,22.50,140.38,-0.83,7.75
3.75,-0.71,2.83,10.92,220.59,8.00,22.50,139.47,-0.72,8.14
3.73,-0.73,2.68,10.90,208.69,8.20,22.50,139.86,-0.46,7.66
3.86,-0.45,2.66,10.94,172.91,8.20,22.50,139.40,-0.52,6.16
3.99,-0.15,2.72,11.00,173.83,8.30,22.50,140.46,-0.57,5.92
4.04,-0.06,2.84,11.03,216.42,8.20,22.50,140.78,-0.44,7.27
4.05,-0.02,2.91,11.10,218.24,8.20,22.50,140.10,-0.39,7.31
4.01,-0.10,2.91,11.05,220.05,8.20,22.50,140.56,-0.45,7.42
3.97,-0.15,2.87,11.01,218.65,8.20,22.50,140.67,-0.47,7.38
3.91,-0.22,2.91,11.00,218.36,8.10,22.50,139.94,-0.43,7.43
3.85,-0.34,2.88,11.00,219.02,8.10,22.50,139.59,-0.46,7.59
3.83,-0.44,2.86,11.00,220.06,8.10,22.50,141.08,-0.47,7.67
3.83,-0.43,2.81,11.00,219.97,8.20,22.50,139.92,-0.52,7.73
3.82,-0.49,2.81,11.00,218.52,8.20,22.50,141.00,-0.54,7.70
3.79,-0.57,2.86,11.00,213.03,8.10,22.50,139.78,-0.56,7.65
3.78,-0.66,2.86,10.92,206.02,8.10,22.50,137.16,-0.57,7.69
3.77,-0.78,2.80,10.92,215.93,8.00,22.50,140.38,-0.48,8.07
3.80,-0.76,2.68,10.90,191.44,8.10,22.50,139.38,-0.44,7.23
3.90,-0.57,2.67,10.92,172.01,8.30,22.50,140.27,-0.50,6.32
4.00,-0.37,2.71,11.00,175.51,8.40,22.50,141.32,-0.65,6.25
4.10,-0.13,2.76,11.00,176.70,8.20,22.50,139.26,-0.72,6.19
4.11,-0.10,2.88,11.04,219.05,8.10,22.50,140.12,-0.75,7.59
4.10,-0.15,2.88,11.09,219.09,8.20,22.50,141.63,-0.74,7.58
4.08,-0.26,2.91,11.10,219.98,8.20,22.50,140.51,-0.71,7.83
4.07,-0.39,2.89,11.10,216.34,8.20,22.50,141.68,-0.67,7.85
4.05,-0.50,2.82,11.14,221.42,8.20,22.50,142.31,-0.70,8.17
4.06,-0.50,2.78,11.22,209.02,8.40,22.50,142.54,-0.79,7.70
4.15,-0.33,2.73,11.46,174.82,8.60,22.50,145.60,-1.03,6.20
4.26,-0.06,2.71,11.50,174.56,8.70,22.50,146.00,-1.09,5.95
4.40,0.22,2.81,11.50,173.99,8.80,22.50,146.42,-1.09,5.72
4.46,0.30,2.95,11.57,216.82,8.60,22.50,147.08,-1.15,7.07
4.40,0.18,3.05,11.69,219.23,8.70,22.50,148.38,-1.22,7.19
4.30,-0.07,3.02,11.61,219.59,8.70,22.50,147.98,-1.15,7.46
4.22,-0.19,2.89,11.60,221.70,8.70,22.50,147.78,-1.21,7.62
4.18,-0.22,2.86,11.60,200.45,8.80,22.50,148.22,-1.15,6.86
4.16,-0.30,2.89,11.60,196.12,8.70,22.50,147.16,-1.12,6.86
4.14,-0.30,2.86,11.60,194.01,8.80,22.50,147.74,-1.09,6.72
4.12,-0.35,2.87,11.60,193.39,8.70,22.50,148.08,-1.02,6.72
4.11,-0.41,2.87,11.60,199.01,8.80,22.50,148.18,-1.07,6.99
4.07,-0.58,2.93,11.53,193.46,8.70,22.50,147.06,-0.98,7.05
3.91,-0.96,2.97,11.50,196.52,8.50,22.50,146.92,-0.91,7.51
3.73,-1.23,2.76,11.50,197.34,8.60,22.50,145.90,-0.91,7.74
3.76,-1.13,2.55,11.50,165.29,8.80,22.50,146.55,-0.93,6.37
3.96,-0.70,2.55,11.54,141.97,8.90,22.50,146.53,-0.94,5.20
4.10,-0.35,2.72,11.63,159.99,8.90,22.50,148.28,-1.05,5.54
4.11,-0.33,2.87,11.70,195.79,8.80,22.50,148.20,-1.08,6.77
4.12,-0.38,2.88,11.70,193.75,8.90,22.50,149.96,-1.05,6.71
4.15,-0.33,2.78,11.70,182.38,8.80,22.50,148.60,-1.05,6.34
4.17,-0.21,2.80,11.70,197.23,8.90,22.50,148.52,-1.03,6.70
4.16,-0.20,2.89,11.77,194.07,8.90,22.50,149.66,-0.98,6.52
4.16,-0.20,2.90,11.80,196.52,8.80,22.50,150.56,-1.00,6.56
4.14,-0.32,2.94,11.81,194.08,8.80,22.50,149.74,-1.04,6.68
4.11,-0.32,2.80,11.83,197.48,9.00,22.50,150.00,-1.08,6.73
4.08,-0.30,2.82,11.90,194.59,9.10,22.50,151.80,-1.08,6.47
4.03,-0.33,2.89,11.90,194.57,9.00,22.50,151.12,-1.09,6.47
3.97,-0.47,2.94,11.80,198.24,8.80,22.50,150.54,-1.04,6.74
3.93,-0.59,2.81,11.70,194.52,8.80,22.50,149.12,-0.95,6.80
3.90,-0.53,2.79,11.59,197.98,8.90,22.50,147.72,-0.81,6.84
3.87,-0.60,2.84,11.44,192.99,8.60,22.50,145.59,-0.67,6.83
3.86,-0.65,2.85,11.24,197.63,8.50,22.50,143.88,-0.50,7.15
3.78,-0.89,2.97,10.94,193.39,8.10,22.50,141.50,-0.23,7.36
3.56,-1.30,2.88,10.80,198.98,7.90,22.50,138.14,-0.04,8.07
3.45,-1.50,2.66,10.80,193.42,8.00,22.50,137.72,-0.02,8.02
3.60,-1.21,2.50,10.84,142.66,8.20,22.50,138.12,-0.10,5.73
3.79,-0.83,2.64,10.90,141.95,8.30,22.50,140.44,-0.12,5.39
3.86,-0.67,2.72,11.00,179.44,8.30,22.50,140.52,-0.13,6.67
3.87,-0.60,2.76,11.00,193.24,8.10,22.50,141.10,-0.12,7.06
